id_producto,nombre,descripcion,cantidad,unidad_producto
1,ALFILERES BLANCOS MC MAPED ,DESCONOCIDO,0,piezas
2,ALFILERES EN RUEDA MULTICOLOR MC SELANUSA,DESCONOCIDO,0,piezas
3,ALFILERES NEGROS MC MAPED ,DESCONOCIDO,0,piezas
4,ALFILERES VERDES MC MAPED ,DESCONOCIDO,0,piezas
5,ARILLO DE PLASTICO PARA ENCUADERNAR 1/2 12.70 MM MC CERLOX,DESCONOCIDO,0,piezas
6,ARILLO DE PLASTICO PARA ENCUADERNAR 1/4  MM MC PERFEX,DESCONOCIDO,0,piezas
7,ARILLO DE PLASTICO PARA ENCUADERNAR 3/8 9.53  MM MC PERFEX,DESCONOCIDO,0,piezas
8,ARILLO DE PLASTICO PARA ENCUADERNAR 5/16 7.44 MM MC CERLOX,DESCONOCIDO,0,piezas
9,ARILLO DE PLASTICO PARA ENCUADERNAR 5/8 18.55 MM MC CERLOX,DESCONOCIDO,0,piezas
10,ARILLO DE PLASTICO PARA ENCUADERNAR 5/8 18.55 MM MC PERFEX,DESCONOCIDO,0,piezas
11,ARILLO METALICO DOBLE PARA ENCUADERNAR MC PERFEX,DESCONOCIDO,0,piezas
12,ARILLO METALICO DOBLE  ENCUADERNAR MC ZEBRA,DESCONOCIDO,0,piezas
13,ARILLO METALICO DOBLE PARA ENCUADERNAR MC GBC,DESCONOCIDO,0,piezas
14,BANDERAS PARA MAPAS MC OFFICE DEPOT,DESCONOCIDO,0,piezas
15,BICOLOR DELGADO MC DIXON ,DESCONOCIDO,0,piezas
16,BOLIGRAFO CRISTAL PRECISION PUNTO FINO F-290 MC. BIC COLOR AZUL FTE,DESCONOCIDO,0,piezas
17,BOLIGRAFO PIN POINT P/FINO CUERPO AMARILLO  TINTA COLOR AZUL MC. AZOR,DESCONOCIDO,0,piezas
18,BOLIGRAFO PIN POINT P/MEDIANO 1.0MM CUERPO TRANSPARENTE TINTA COLOR AZUL MC. AZOR,DESCONOCIDO,0,piezas
19,BOLIGRAFO PINT PONT 0.5 MM CUERPO AZUL TINTA COLOR AZUL. AZOR,DESCONOCIDO,0,piezas
20,BOLIGRAFO PIN POINT P/MEDIANO 1.0MM CUERPO TRANSPARENTE TINTA COLOR NEGRO MC. AZOR,DESCONOCIDO,0,piezas
21,BOLIGRAFO PUNTA DE AGUJA 0.7MM C/ROJO MC AZOR ,DESCONOCIDO,0,piezas
22,BOLIGRAFO PUNTA FINA 0.7MM C/ROJO MC PAPERMATE ,DESCONOCIDO,0,piezas
23,BOLIGRAFO PUNTO FINO CON 12 PZAS BOLEX COLOR ROJO,DESCONOCIDO,0,piezas
24,BOLIGRAFO PUNTA MEDIA CON 12 PZAS PAPERMATE  COLOR ROJO,DESCONOCIDO,0,piezas
25,"BORRADOR DE PIZARRON, VINCI",DESCONOCIDO,0,piezas
26,BORRADOR DE MIGAJON M-40 MC. PELIKAN,DESCONOCIDO,0,piezas
27,BORRADOR PARA PIZARR�N VINCI MC DIXON,DESCONOCIDO,0,piezas
28,BLOCK DE COMPROBANTE DE GASTOS. MC GRAFIX M�XICO 50 HOJAS,DESCONOCIDO,0,piezas
29,CAJA DE BROCHES PARA ARCHIVO DE 8 CM. ACCO,DESCONOCIDO,0,piezas
30,CAJA CON 100 CHINCHETAS PIN DIFERENTES COLORES MC PELIKAN,DESCONOCIDO,0,piezas
31,CAJA CON 100 CLIPS ESTANDAR BASICO N� 2 MC. ACCO,DESCONOCIDO,0,piezas
32,CAJA CON 4 MARCADORES P/PIZARRON BCO BARRIL D/PLAST 8354 MAGISTRAL DIDACTICO,DESCONOCIDO,0,piezas
33,CAJA DE LIGAS DE HULE NATURAL N� 18 C/100 GRS MC. HERCULES 2024,DESCONOCIDO,0,piezas
34,CALCULADORA BASICA 12 DIGITOS MOD. MS-20UC-BK COLOR NEGRO MC. CASIO,DESCONOCIDO,0,piezas
35,CARPETA ACCOPRESS T/C BROCHE OCULTO MC. ACCO COL. AZUL FTE,DESCONOCIDO,0,piezas
36,CARPETA ACCOPRESS T/O BROCHE OCULTO MC. ACCO COL. AZUL FTE,DESCONOCIDO,0,piezas
37,CARPETA DE ARGOLLAS PANORAMICA T/C 2 P7149 MC. ACCO COL. BLANCO,DESCONOCIDO,0,piezas
38,CARPETA TAMA�O OFICIO CON BROCHE TAMA�O OFICIO C/NEGRO,DESCONOCIDO,0,piezas
39,CARTULINA OPALINA BLANCA T/CARTA AVANT 100H 220G,DESCONOCIDO,0,piezas
40,CARTULINA OPALINA CONT. 100 HOJAS MC IMPERIAL,DESCONOCIDO,0,piezas
41,CHINCHES ROSAS MC ,DESCONOCIDO,0,piezas
42,CINTA ADHESIVA MASKING-TAPE MOD. 110 24MM X 50 MTS. MC. NEXTEP,DESCONOCIDO,0,piezas
43,CINTA ADHESIVA MASKING-TAPE MOD. 110 24MM X 50 MTS. MC. TUK,DESCONOCIDO,0,piezas
44,CINTA ADHESIVA MASKING-TAPE MOD. 110 36MM X 50MTS. MC JANEL,DESCONOCIDO,0,piezas
45,CINTA ADHESIVA MASKING-TAPE MOD. 110 36MM X 50MTS. MC TUK,DESCONOCIDO,0,piezas
46,CINTA ADHESIVA MASKING-TAPE MOD. 110 48MM X 50 MTS. MC. KYMA,DESCONOCIDO,0,piezas
47,CINTA ADHESIVA MASKING-TAPE MOD. 110 48MM X 50 MTS. MC. NAVITEK,DESCONOCIDO,0,piezas
48,CINTA ADHESIVA MASKING-TAPE MOD. 110 48MM X 50 MTS. MC. SINERMARK,DESCONOCIDO,0,piezas
49,CINTA ADHESIVA MASKING-TAPE MOD. 110 48MM X 50 MTS. MC. TUCK,DESCONOCIDO,0,piezas
50,CINTA MAGICA SCOTCH,DESCONOCIDO,0,piezas
51,CINTA ADHESIVA PLATEADA 48MM X 50 MTS. MOD. 90-T MC. TUK,DESCONOCIDO,0,piezas
52,CINTA ADHESIVA TRANSPARENTE DE 24MM X 65M MC NEXTEP,DESCONOCIDO,0,piezas
53,CINTA ADHESIVA TRANSPARENTE MOD. 179 48MM X 50MTS MC. JANEL,DESCONOCIDO,0,piezas
54,CINTA ADHESIVA TRANSPARENTE MOD. 179 48MM X 50MTS MC. TUK,DESCONOCIDO,0,piezas
55,CINTA ADHESIVA TRANSPARENTE MOD. 200 24 MM X 65 MTS. MC. OFFILAND,DESCONOCIDO,0,piezas
56,CINTA ADHESIVA TRANSPARENTE MOD. 200 24 MM X 65 MTS. MC. TUK,DESCONOCIDO,0,piezas
57,CINTA ADHESIVA TRANSPARENTE 18 MM X 33 MTS. MC NAVITEK,DESCONOCIDO,0,piezas
58,CINTA AISLANTE DE VINILO NEGRO 320 19MM X 18M MC TUK ,DESCONOCIDO,0,piezas
59,CINTA AISLANTE DE VINILO NEGRO 320 19MM X 18M MC ARGOS,DESCONOCIDO,0,piezas
60,CINTA BARRICADA PELIGRO 75MM X 100M MC TUCK,DESCONOCIDO,0,piezas
61,CINTA BARRICADA PRECAUCION COLOR AMARILLO MOD. 520 MC TUK,DESCONOCIDO,0,piezas
62,CINTA CANELA 48MM X 50M MC NAVITEK,DESCONOCIDO,0,piezas
63,CINTA CANELA 48MM X 50M MC TUK,DESCONOCIDO,0,piezas
64,CINTA CANELA 48MM X 50M MC DEBEK,DESCONOCIDO,0,piezas
65,CINTA DOBLE CARA 12.7 MM X 32.9 MM MC SCOTCH,DESCONOCIDO,0,piezas
66,CLIP JUMBO CONT. 100 PZAS MC ACCO,DESCONOCIDO,0,piezas
67,CLIP MARIPOSA #1 CONT. 12 PZAS MC ACCO,DESCONOCIDO,0,piezas
68,CLIP MARIPOSA #2 CONT. 50 PZAS MC ACCO,DESCONOCIDO,0,piezas
69,CLIPS ESTADAR BASICO N� 1 CONT. 100 MC BACO,DESCONOCIDO,0,piezas
70,CLIPS ESTANDAR BASICO N�2 CAJA CONT. 100 MC ACCO,DESCONOCIDO,0,piezas
71,CORRECTOR DE CINTA 5MM X 8 MTS. MOD. PA-C0CIN806 MC. PASCUA COLORES SURTIDOS 2023,DESCONOCIDO,0,piezas
72,CORRECTOR EN LAPIZ C-30 SABONIS,DESCONOCIDO,0,piezas
73,CORRECTOR T/BOLIGRAFO ZEBRA,DESCONOCIDO,0,piezas
74,CUADERNO F/FRANCESA COCIDO 100 HJS. MC. RAYTER RAYAS,DESCONOCIDO,0,piezas
75,CUADERNO PROF. SERIE 3 100 HJS. ESPIRAL DOBLE MOD.9650 MC. SCRIBE RAYAS,DESCONOCIDO,0,piezas
76,CUBO DE NOTAS ADHESIVAS 3 X 3 400 HJ NEON EAGLE,DESCONOCIDO,0,piezas
77,CUBO DE NOTAS POST-IT 54 AMARILLO 3'' X 3'' C/400 H. MEMO TIP MC. JANEL,DESCONOCIDO,0,piezas
78,CUCHILLA ANCHA DE PLASTICO DE COLOR MC. MAPED,DESCONOCIDO,0,piezas
79,DEDAL DE HULE NATURAL N� 11 MC. AGUILA,DESCONOCIDO,0,piezas
80,DESENGRAPADORA MOD. 370111 MC. MAPED,DESCONOCIDO,0,piezas
81,ENTINTADOR DE COJINES PARA SELLOS C/ROJA CONT.60ML MC AZOR,DESCONOCIDO,0,piezas
82,ETIQUETA ADHESIVA EAB04767 47 X 67 MM MC TRANSFER,DESCONOCIDO,0,piezas
83,ETIQUETA ADHESIVA EAB20105 20 X 105 MM MC TRANSFER,DESCONOCIDO,0,piezas
84,ETIQUETA ADHESIVA EAB20105 47 X 102 MM MC TRANSFER,DESCONOCIDO,0,piezas
85,ETIQUETAS ADHESIVAS  2538 MC JANEL ,DESCONOCIDO,0,piezas
86,ETIQUETAS PARA LASER+INKJET+COPIADORAS J-5165 TAMA�O CARTA MC JANEL CONT. 25 PIEZAS,DESCONOCIDO,0,piezas
87,ETIQUETAS PARA LASER+INKJET+COPIADORAS J-5931 TAMA�O CARTA CONT. 25 PZS MC JANEL ,DESCONOCIDO,0,piezas
88,FOAMI TAMA�O CARTA MULTICOLOR SIN MARCA ,DESCONOCIDO,0,piezas
89,FOLDER ARCOIRIS T/CARTA CON SOLAPA (2007) COLOR BLANCO,DESCONOCIDO,0,piezas
90,FOLDER TAMA�O OFICIO C/PAJA MC MAPASA ,DESCONOCIDO,0,piezas
91,FOLDER TAMA�O OFICIO C/PAJA MC SMART FILE,DESCONOCIDO,0,piezas
92,FOLDERS  TAMA�O CARTA C/PAJA MC EUROCOLORS,DESCONOCIDO,0,piezas
93,GRAPAS EST�NDAR CONT. 5000  PZAS MC PASCUA,DESCONOCIDO,0,piezas
94,GRAPAS EST�NDAR CONT. 5000 PZAS MC BOSTITCH,DESCONOCIDO,0,piezas
95,GRAPAS HEAVY DUTY 5/16 N�36805 MC SURINQLINE,DESCONOCIDO,0,piezas
96,LAPIZ ADHESIVO BLANCO DE 20 GRS. PELIKAN,DESCONOCIDO,0,piezas
97,LAPIZ ADHESIVO BLANCO DE 21 GRS. MC. DIXON,DESCONOCIDO,0,piezas
98,LAPIZ DE GRAFITO TRIANGULAR BLACK PEPS MC. MAPED,DESCONOCIDO,0,piezas
99,LASER FOLIO PRESENTACION KIT 10 PZAS  MC AVERY,DESCONOCIDO,0,piezas
100,LIBRETA F/FRANCESA PASTA GRUESA 96 HJS. (1750) MC. SCRIBE RAYAS,DESCONOCIDO,0,piezas
101,LIBRO DE ACTAS 192 HOJAS NTERL B ,DESCONOCIDO,0,piezas
102,MARCADOR CON TINTA PERMANENTE PUNTO FINO COLOR AZUL MC NEXTEP ,DESCONOCIDO,0,piezas
103,MARCADOR PERMANENTE  METALICO P/FINO COLOR DORADO MC SHARPIE,DESCONOCIDO,0,piezas
104,MARCADOR PERMANENTE  METALICO P/FINO COLOR PLATEADO MC SHARPIE,DESCONOCIDO,0,piezas
105,MARCADOR PERMANENTE PUNTO FINO C/AZUL MC SHARPIE ,DESCONOCIDO,0,piezas
106,MARCADOR PERMANENTE PUNTO FINO C/NEGRO MC SHARPIE ,DESCONOCIDO,0,piezas
107,MARCADOR PERMANENTE PUNTO FINO C/ROJO MC SHARPIE ,DESCONOCIDO,0,piezas
108,MARCADOR PUNTO FINO C/AZUL MAPED,DESCONOCIDO,0,piezas
109,MARCATEXTOS C/AMARILLO DIXON,DESCONOCIDO,0,piezas
110,MARCATEXTOS C/NARANJA DIXON,DESCONOCIDO,0,piezas
111,MARCATEXTOS C/VERDE  DIXON,DESCONOCIDO,0,piezas
112,MARCATEXTOS C/AZUL DIXON,DESCONOCIDO,0,piezas
113,PALITOS JUMBO DE MADERA,DESCONOCIDO,0,piezas
114,PAPEL BLANCO T/CARTA 37 KG. 93% DE BLANCURA MC. SCRIBE ECOLOGICO VERDE,DESCONOCIDO,0,piezas
115,PAPEL BOND BLANCO T/OFICIO  75KG. CONT. 500 HOJAS MC. SCRIBE,DESCONOCIDO,0,piezas
116,PAPEL BOND INACOPIA T/CARTA ,DESCONOCIDO,0,piezas
117,PAPEL VEGETAL 61X91 /110GR/62KG GRUESO PLIEGO CANSON ALBANENE,DESCONOCIDO,0,piezas
118,PAPEL BOND BLANCO SINMARCA ,DESCONOCIDO,0,piezas
119,PAPEL KRAFT COLOR CARTON SIN MARCA ,DESCONOCIDO,0,piezas
120,PAQUETE ACETATO TRANSPARENTE TAMA�O CARTA CONT. 25 HOJAS MC KRONALINE,DESCONOCIDO,0,piezas
121,PAQUETE CARD PLAYERS CONT. 50 PIEZAS MC K&M,DESCONOCIDO,0,piezas
122,PAQUETE CON 100 TARJETAS BLANCAS 5'' X 8'' 1/2 CARTA MC. RAYTER,DESCONOCIDO,0,piezas
123,PAQUETE DE ETIQUETAS ADHERIBLES BLANCAS 20 X 105 MM MC TRANSFER 2023,DESCONOCIDO,0,piezas
124,PAQUETE DE ETIQUETAS ADHERIBLES BLANCAS 47 X 102 MM MC TRANSFER 2024,DESCONOCIDO,0,piezas
125,PAQUETE DE PAPEL ARCOIRIS T/C C/100 HJS COL. INTESOS MC EUROCOLORS,DESCONOCIDO,0,piezas
126,PAQUETE DE PAPEL ARCOIRIS T/C C/100 HJS. COLOR PASTEL MC. EUROCOLOR,DESCONOCIDO,0,piezas
127,PAQUETE DE PAPEL DE CHINA COLOR VERDE MC PARISINA ,DESCONOCIDO,0,piezas
128,PAQUETE DE PAPEL DE CHINA COLOR MORADO MC PARISINA,DESCONOCIDO,0,piezas
129,PAQUETE DE MO�O AUTOM�TICO DIVERSOS COLORES. MC CELOMAGICIO 100 PZAS,DESCONOCIDO,0,piezas
130,PASTAS PLASTICAS T/CARTA  LISA MC. ZEBRA COLOR NEGRO,DESCONOCIDO,0,piezas
131,PASTAS PLASTICAS T/CARTA LISA MC. ZEBRA TRANSPARENTE,DESCONOCIDO,0,piezas
132,PEGAMENTO INSTANTANEO DE 2 GRS. KOLA-LOKA,DESCONOCIDO,0,piezas
133,PEGAMENTO INSTANTANEO DE 3.5 GRS. GOTERITO MC KOLA-LOKA,DESCONOCIDO,0,piezas
134,PEGAMENTO INSTANTANEO DE 5 GRS. EN BROCHA KOLA-LOKA,DESCONOCIDO,0,piezas
135,PEGAMENTO VINVILICO BLANCO. ALFA ,DESCONOCIDO,0,piezas
136,PERFORADORA 2 ORIFICIOS ESSENTIALS METALICA 20/25 HJS. MOD. 402411 MC. MAPED,DESCONOCIDO,0,piezas
137,PLASTILOKA PLASTILINA EPOXICA MC KOLALOKA,DESCONOCIDO,0,piezas
138,P�LIZA CHEQUE B-1013 TAMA�O CARTA CONT.50 HOJAS MC PRINTAFORM,DESCONOCIDO,0,piezas
139,P�LIZA DE DIARIO B-1002 TAMA�O CARTA CONT.50 HOJAS MC PRINTAFORM,DESCONOCIDO,0,piezas
140,P�LIZA DE EGRESOS B-1005 TAMA�O CARTA CONT.50 HOJAS MC PRINTAFORM ,DESCONOCIDO,0,piezas
141,P�LIZA DE INGRESOS B-1004 TAMA�O CARTA CONT. 50 HOJAS MC PRINTAFORM ,DESCONOCIDO,0,piezas
142,PROTECTOR DE HOJAS T/CARTA (MEDIO) MC. WILSON JONES,DESCONOCIDO,0,piezas
143,PROTECTOR DE HOJAS T/OFICIO(360) MC. KINERA,DESCONOCIDO,0,piezas
144,PUNTILLAS HB 0.5 MC ZEBRA ,DESCONOCIDO,0,piezas
145,PUNTILLAS HB 0.7 MC ZEBRA ,DESCONOCIDO,0,piezas
146,REPUESTOS PARA CUTER SIN MARCA,DESCONOCIDO,0,piezas
147,RECOPILADOR TAMA�O ESQUELA KYMA,DESCONOCIDO,0,piezas
148,RECOPILADOR TAMA�O MEMORANDUM  MC LEFORT ,DESCONOCIDO,0,piezas
149,REGISTRADOR TAMA�O CARTA (REGCAR) MC. PRINTAFORM,DESCONOCIDO,0,piezas
150,REGISTRADOR TAMA�O OFICIO MC TRINTAFORM,DESCONOCIDO,0,piezas
151,REGLA SECRETARIAL DE ALUMINIO 30 CMS. MOD. 3001 MC. ARLY,DESCONOCIDO,0,piezas
152,ROLLO DE PLASTICO CONTAC AUTOADERIBLE TRANSP. C/20 MTS. MOD. 7020 MC. BARRILITO,DESCONOCIDO,0,piezas
153,SACAPUNTA CHICO DE METAL UNA ENTRADA MOD. 5066 MC. MAPED,DESCONOCIDO,0,piezas
154,SACAPUNTA CHICO DE  PLASTICO UNA ENTRADA,DESCONOCIDO,0,piezas
155,SEPARADOR DE HOJAS T/CARTA 26 PZAS DE LA A A LA Z. MC WILSON JONES,DESCONOCIDO,0,piezas
156,SOBRE DE PLASTICO T/OFICIO HORIZ. C/HILO PA-SOHOF-SUR MC. PASCUA ,DESCONOCIDO,0,piezas
157,SOBRE AMARILLO PARA NOMINA COIN 5-60 KGS MC. NASSA,DESCONOCIDO,0,piezas
158,SOBRE BOLSA AMARILLO T/CARTA 2330/60 KGS MC. NASSA,DESCONOCIDO,0,piezas
159,SOBRE BOLSA AMARILLO T/OFICIO 2434/60 KGS MC. NASSA,DESCONOCIDO,0,piezas
160,SOBRE D/PLASTICO T/O HORIZ. C/HILO MOD. 120FCHN MC. BARRILITO,DESCONOCIDO,0,piezas
161,SOBRE MEDIA CARTA 16.5 X 25CM MC NASSA,DESCONOCIDO,0,piezas
162,SOBRE PARA CARTA 12.5X22CM ,DESCONOCIDO,0,piezas
163,SOBRE PARA CARTA 24X10CM ,DESCONOCIDO,0,piezas
164,SOBRE TAMA�O OFICIO C/AMARILLO ,DESCONOCIDO,0,piezas
165,SOBRE TAMA�O OFICIO C/BLANCO,DESCONOCIDO,0,piezas
166,SOBRES 7.7X11.4,DESCONOCIDO,0,piezas
167,SOBRES AMARILLOS DE 16.1X8.4CM ,DESCONOCIDO,0,piezas
168,SOBRE BOLSA CON BROCHE 15X22 MC SIGNATURE,DESCONOCIDO,0,piezas
169,SOBRE BOLSA GOMA T/CARTA 23X30.5 CM MC KYMA,DESCONOCIDO,0,piezas
170,SUJETA DOCUMENTOS 19 MM MC. ACCO,DESCONOCIDO,0,piezas
171,SUJETA DOCUMENTOS 25 MM MC. PASCUA,DESCONOCIDO,0,piezas
172,SUJETA DOCUMENTOS 32 MM MC. ACCO,DESCONOCIDO,0,piezas
173,SUJETA DOCUMENTOS 50 MM MC. ACCO,DESCONOCIDO,0,piezas
174,"SUJETA DOCUMENTOS GRANDE 50MM (2"")  MC ACCO",DESCONOCIDO,0,piezas
175,TARJETAS BLANCAS 3X5 PAQ C/100 PZAS RAMSA,DESCONOCIDO,0,piezas
176,TARJETA BLANCA 4X6 PAQ C/100 PZAS IRASA,DESCONOCIDO,0,piezas
177,TARJETA BLANCA 5X8 PAQ.C/100 PZAS. RAYTER,DESCONOCIDO,0,piezas
178,TIJERA ESCOLAR 5CM  MC PASCUA DIVERSOS COLRES ,DESCONOCIDO,0,piezas
179,TIJERA ADVANCED GREEN 17 CMS. MOD. 496110 MC. MAPED,DESCONOCIDO,0,piezas
180,TINTA PARA SELLOS C/NEGRO CONT.60ML MC PELIKAN ,DESCONOCIDO,0,piezas
181,TINTA PARA SELLOS C/ROJO CONT.60ML MC PELIKAN ,DESCONOCIDO,0,piezas
182,TINTA PROTECTORA DE CHEQUES 12 ML MC STAFFORD,DESCONOCIDO,0,piezas
183,TINTA PARA SELLOS  C/ROJO azor,DESCONOCIDO,0,piezas
184,ABRILLANTADOR DE MUEBLES,DESCONOCIDO,0,piezas
185,AROMATIZANTE WIESE,DESCONOCIDO,0,piezas
186,ALMOROL ,DESCONOCIDO,0,piezas
187,ACEITE PARA MOP,DESCONOCIDO,0,piezas
188,ACIDO MURIATICO SULTAN 900ML,DESCONOCIDO,0,piezas
189,ARA�AS METALICAS ,DESCONOCIDO,0,piezas
190,BOLSA PARA BASURA 90X120,DESCONOCIDO,0,piezas
191,BOLSA TRANSPARENTE 40X60 ,DESCONOCIDO,0,piezas
192,BOLSA NEGRA PARA BASURA 90X70,DESCONOCIDO,0,piezas
193,BOLSA NEGRA PARA BASURA 60X100 ,DESCONOCIDO,0,piezas
194,BOLSA NEGRA PARA BASURA 80X100 ,DESCONOCIDO,0,piezas
195,BOLSA  PARA BASURA TRANPARENTE 90X120,DESCONOCIDO,0,piezas
196,BOMBA PARA WC CON PALO ,DESCONOCIDO,0,piezas
197,BOTE ATOMIZADOR BLANCO CHICO ,DESCONOCIDO,0,piezas
198,BOTE ATOMIZADOR CONT. 1 L MC AKSI,DESCONOCIDO,0,piezas
199,BOTE BLANCO CON TAPA ROJA MC LACTOVIT,DESCONOCIDO,0,piezas
200,BOTE PARA BASURA NEGRO MC SABLON ,DESCONOCIDO,0,piezas
201,BOTE PARA BASURA NEGRO SIN MARCA ,DESCONOCIDO,0,piezas
202,CEPILLO PARA WC ,DESCONOCIDO,0,piezas
203,CEPILLO ,DESCONOCIDO,0,piezas
204,CEPILLO CHICO DE PLASTICO MC. KINTEK,DESCONOCIDO,0,piezas
205,CESTO BALACIN GRANDE ,DESCONOCIDO,0,piezas
206,CLORO 3% ,DESCONOCIDO,0,piezas
207,CUBETA DE PLASTICO,DESCONOCIDO,0,piezas
208,CUBETA DE PLASTICO CON EXPRIMIDOR MC LA BONITA,DESCONOCIDO,0,piezas
209,DESENGRASANTE BRASSO,DESCONOCIDO,0,piezas
210,DETEGERTE 10KG MC ROMA,DESCONOCIDO,0,piezas
211,DETERGENTE 1 KG MC ROMA ,DESCONOCIDO,0,piezas
212,DISPENSADOR TRANSPARENTE DE 1 L ,DESCONOCIDO,0,piezas
213,DISPENSADOR TRANSPARENTE DE 600 ML,DESCONOCIDO,0,piezas
214,ESCOBA DE VINILO ABANICO ,DESCONOCIDO,0,piezas
215,FRANELA ,DESCONOCIDO,0,piezas
216,FERTILIZANTE TRIPLE 17 CONT. 1 KG MC ROYAL GARDEN,DESCONOCIDO,0,piezas
217,FIBRA CON ESPONJA DE 7 X 13 CM,DESCONOCIDO,0,piezas
218,FIBRA BLANCAS 9X15 CM,DESCONOCIDO,0,piezas
219,FIBRA VERDE CHICO ,DESCONOCIDO,0,piezas
220,FIBRA VERDE 3M MC. SCOTCH BRITE,DESCONOCIDO,0,piezas
221,GEL ANTIBACTERIAL ,DESCONOCIDO,0,piezas
222,GUANTES DE L�TEX MC VITEX,DESCONOCIDO,0,piezas
223,H24 DOMESTICO 460 ML,DESCONOCIDO,0,piezas
224,HERBICIDA Y DESECANTE AGRICOLA FAENA CONT. 1L,DESCONOCIDO,0,piezas
225,INSECTICIDA EN POLVO  CONT. 1 KG MC. FOLEY,DESCONOCIDO,0,piezas
226,JAB�N LIQUIDO PARA TRASTES,DESCONOCIDO,0,piezas
227,JALADOR PARA CRISTAL,DESCONOCIDO,0,piezas
228,JALADOR,DESCONOCIDO,0,piezas
229,JERGA 3 COLORES ,DESCONOCIDO,0,piezas
230,JICARAS,DESCONOCIDO,0,piezas
231,LUSTRADOR DE MUEBLES,DESCONOCIDO,0,piezas
232,LIQUIDO PARA MOP,DESCONOCIDO,0,piezas
233,LIMPIADOR CON ATOMIZADOR,DESCONOCIDO,0,piezas
234,LIMPIADOR DE PISO MULTIUSOS ,DESCONOCIDO,0,piezas
235,LIMPIADOR PARA VIDRIOS ,DESCONOCIDO,0,piezas
236,MECHUDO DE PABILO,DESCONOCIDO,0,piezas
237,PAPEL HIGIENICO,DESCONOCIDO,0,piezas
238,PALOS PARA ESCOBA,DESCONOCIDO,0,piezas
239,PALOS PARA MOP CON ESTRUCTURA ,DESCONOCIDO,0,piezas
240,PALOS PARA MOP DE ALUMINIO ,DESCONOCIDO,0,piezas
241,PALOS PARA MOP DE MADERA,DESCONOCIDO,0,piezas
242,PA�UELOS DESECHABLES DE MANZANILLA TRIPLE HOJA CONT. 100 PA�UELOS MC KLEENEX ,DESCONOCIDO,0,piezas
243,PASTILLA SANITARIA MC FLASH,DESCONOCIDO,0,piezas
244,RAID CASA Y JARDIN 400 ML,DESCONOCIDO,0,piezas
